rank_by_demand,GEOHASH,mean_speed,peak_hour_vehicle_count,total_vehicle_count,lat,lon,veh_mean,veh_std,mean_daily_vehicle_count,cv,consistency,vol_norm,speed_norm,cons_norm,demand_score,nearest_station_km,dist_norm,underserved_score
1324,sxk6df,38.31578947368421,36,246,41.2344360351563,28.6029052734375,12.947368421052632,10.752124773015932,41.0,0.8304486612663585,0.5463141475424775,0.0035269814077694356,0.2574759343817426,0.23217695558762924,0.2709561015068878,18.853126800127704,0.2681440449387936,0.270393690193269
1325,sxkc40,58.27272727272727,56,619,40.9597778320313,29.2730712890625,28.136363636363637,11.382088914252428,88.42857142857143,0.40453304701882664,0.711980399551678,0.0077089736484103385,0.4514543757733656,0.5125523856011113,0.27092865121241777,1.8093134840243803,0.02546200088852283,0.2218353211476388
1326,sxkbg9,57.642857142857146,497,6120,40.9213256835938,29.3389892578125,218.57142857142858,143.2339263999897,874.2857142857143,0.6553186175132946,0.604113304484095,0.07700156194890914,0.4453321326065204,0.3299968995133403,0.27090052109516655,4.827351852475828,0.06843499681930633,0.2304074162399945
1327,sxk915,43.904761904761905,341,2771,40.9762573242188,28.8775634765625,131.95238095238096,108.89053043790179,395.85714285714283,0.8252259614502374,0.5478773703204659,0.03481634503955257,0.31179990793309503,0.2348225714162593,0.2708327144230996,0.15148577798549728,0.0018566604096663122,0.21703750362041294
1328,sxkf2z,44.0,14,103,41.2179565429688,29.2181396484375,5.722222222222222,3.84716175833188,14.714285714285714,0.6723195304647775,0.59797184795305,0.001209250768378092,0.31272560793083115,0.31960302933810875,0.27070754887256143,6.180201038162685,0.08769783428326958,0.2341056059547031
1329,sxk6p3,70.0,368,6826,41.1410522460938,28.8006591796875,235.3793103448276,102.76339460593913,975.1428571428571,0.43658635270430324,0.6960945982241507,0.08589459364135636,0.565441707312773,0.4856670765879824,0.2704481999444428,1.0237235071627269,0.014276207085556067,0.21921380137266547
1330,sxkbgg,67.5625,470,4822,40.9323120117188,29.3499755859375,301.375,131.15785654444545,803.6666666666666,0.43519819674495314,0.6967678765678581,0.07077476024924001,0.5417495729957159,0.486806540436813,0.27022381631326786,4.899268805180566,0.06945900199705388,0.23007085345002506
1331,sxk4pc,50.12,35,437,41.14105224609379,28.4710693359375,17.48,9.725910411541602,62.42857142857143,0.5564021974247826,0.6425074454755951,0.005416435733360205,0.37221108978534967,0.39497557597843164,0.2700400061267615,22.624305873705207,0.3218407986570885,0.2804001646328269
1332,sxk9g1,67.3913043478261,771,8926,41.0971069335938,28.9654541015625,388.0869565217391,224.76531458460448,1275.142857142857,0.579162249096189,0.633247154035208,0.11234695419962713,0.540085576940003,0.37930335448998687,0.27000847491581004,0.47230955606419694,0.006424779574085192,0.21729173584746508
1333,sxkb5r,48.23076923076923,114,1469,40.8224487304688,29.3280029296875,56.5,36.66742423459821,209.85714285714286,0.6489809598929067,0.6064351404427041,0.018415881493424695,0.3538480501379518,0.3339264008295145,0.26983880587122977,10.182061290472195,0.14467919215324898,0.2448068831276336
